dataset,backbone,episode,baseline,selector,proto_weight,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
strawberry,vitb32,0,ProtoAdapter-hard,none,8.0,0.9962141567070546,1.0,,0.0,1.0,0.7677902621722846,0.2900505902192243,0.7099494097807757,593,216,205,172,0,205
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.4,0.3945897546631403,0.0,1.0,0.27715355805243447,0.6964586846543002,0.30354131534569984,593,78,102,413,0,74
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.5,0.3879524469699114,0.0,1.0,0.3595505617977528,0.6408094435075885,0.3591905564924115,593,101,112,380,0,96
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.6,0.38088337577025366,0.0,1.0,0.449438202247191,0.5750421585160203,0.42495784148397975,593,126,126,341,0,120
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.7,0.3736915347581168,0.0,1.0,0.5205992509363296,0.4991568296795953,0.5008431703204047,593,148,149,296,0,139
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.8,0.3654189760104699,0.0,1.0,0.6067415730337079,0.4300168634064081,0.5699831365935919,593,171,167,255,0,162
strawberry,vitb32,0,ProtoAdapter-selective,msp,8.0,0.9962141567070546,0.9,0.3564991191154469,0.0,1.0,0.6928838951310862,0.357504215851602,0.642495784148398,593,194,187,212,0,185
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.4,0.05920920248998501,0.0,1.0,0.20973782771535582,0.7048903878583473,0.29510961214165266,593,57,118,418,0,56
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.5,0.05071381494209365,0.0,1.0,0.30711610486891383,0.6357504215851602,0.36424957841483985,593,83,133,377,0,82
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.6,0.04032897275345915,0.0,1.0,0.38202247191011235,0.5615514333895447,0.4384485666104553,593,103,157,333,0,102
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.7,0.031012410599918272,0.0,1.0,0.5093632958801498,0.4806070826306914,0.5193929173693086,593,137,171,285,0,136
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.8,0.021553196727903623,0.0,1.0,0.6142322097378277,0.40809443507588533,0.5919055649241147,593,172,179,242,0,164
strawberry,vitb32,0,ProtoAdapter-selective,margin,8.0,0.9962141567070546,0.9,0.012658902774981107,0.0,1.0,0.6928838951310862,0.35075885328836426,0.6492411467116357,593,194,191,208,0,185
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.4,1.085718353165542,0.0,1.0,0.3146067415730337,0.6981450252951096,0.3018549747048904,593,92,87,414,0,84
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.5,1.0892841610418773,0.0,1.0,0.3782771535580524,0.6357504215851602,0.36424957841483985,593,110,106,377,0,101
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.6,1.0916952987880977,0.0,1.0,0.4419475655430712,0.5733558178752108,0.42664418212478916,593,127,126,340,0,118
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.7,1.0936443043848558,0.0,1.0,0.5205992509363296,0.5059021922428331,0.49409780775716694,593,148,145,300,0,139
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.8,1.0949361449822534,0.0,1.0,0.599250936329588,0.43844856661045534,0.5615514333895446,593,169,164,260,0,160
strawberry,vitb32,0,ProtoAdapter-selective,entropy,8.0,0.9962141567070546,0.9,1.09656637581248,0.0,1.0,0.6853932584269663,0.3591905564924115,0.6408094435075885,593,192,188,213,0,183
strawberry,vitb32,1,ProtoAdapter-hard,none,8.0,0.9843550299887289,1.0,,0.004098360655737705,0.9959016393442623,0.8539325842696629,0.26475548060708265,0.7352445193929174,593,244,192,157,1,228
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.4,0.39196932341463186,0.0,1.0,0.34831460674157305,0.6812816188870152,0.3187183811129848,593,94,95,404,0,93
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.5,0.38626283111549786,0.0,1.0,0.4307116104868914,0.6222596964586846,0.3777403035413154,593,117,107,369,0,115
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.6,0.38134735596144603,0.0,1.0,0.5243445692883895,0.5497470489038786,0.4502529510961214,593,144,123,326,0,140
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.7,0.3748390905469726,0.0,1.0,0.602996254681648,0.4924114671163575,0.5075885328836425,593,167,134,292,0,161
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.8,0.3660435856901704,0.0,1.0,0.6928838951310862,0.41989881956155145,0.5801011804384486,593,192,152,249,0,185
strawberry,vitb32,1,ProtoAdapter-selective,msp,8.0,0.9843550299887289,0.9,0.3548012962895768,0.0,1.0,0.7902621722846442,0.33895446880269814,0.6610455311973018,593,220,172,201,0,211
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.4,0.06327691488300635,0.0,1.0,0.3295880149812734,0.6829679595278246,0.31703204047217537,593,89,99,405,0,88
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.5,0.05138754810238416,0.0,1.0,0.4232209737827715,0.6104553119730185,0.3895446880269815,593,114,117,362,0,113
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.6,0.03977521103526244,0.0,1.0,0.50187265917603,0.5480607082630692,0.4519392917369308,593,136,132,325,0,134
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.7,0.030868648785871033,0.0,1.0,0.6254681647940075,0.47048903878583476,0.5295109612141653,593,170,144,279,0,167
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.8,0.019541031859077684,0.0,1.0,0.7116104868913857,0.4148397976391231,0.5851602023608768,593,193,154,246,0,190
strawberry,vitb32,1,ProtoAdapter-selective,margin,8.0,0.9843550299887289,0.9,0.009850676945261205,0.0045045045045045045,0.9954954954954955,0.797752808988764,0.342327150084317,0.657672849915683,593,222,168,203,1,213
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.4,1.0872653335304343,0.0,1.0,0.37453183520599254,0.6964586846543002,0.30354131534569984,593,106,74,413,0,100
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.5,1.0895863658547569,0.0,1.0,0.40823970037453183,0.642495784148398,0.35750421585160197,593,115,97,381,0,109
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.6,1.0913713206035016,0.0,1.0,0.4868913857677903,0.5649241146711635,0.43507588532883645,593,136,122,335,0,130
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.7,1.0926607871008072,0.0,1.0,0.5805243445692884,0.4856661045531197,0.5143338954468804,593,162,143,288,0,155
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.8,1.0946110766218875,0.0,1.0,0.6816479400749064,0.40978077571669475,0.5902192242833053,593,191,159,243,0,182
strawberry,vitb32,1,ProtoAdapter-selective,entropy,8.0,0.9843550299887289,0.9,1.0969649309613152,0.0,1.0,0.7940074906367042,0.33389544688026984,0.6661045531197302,593,223,172,198,0,212
strawberry,vitb32,2,ProtoAdapter-hard,none,8.0,1.0230289474462204,1.0,,0.0,1.0,0.49812734082397003,0.3760539629005059,0.623946037099494,593,154,216,223,0,133
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.4,0.39390134864773796,0.0,1.0,0.2397003745318352,0.6998313659359191,0.3001686340640809,593,73,105,415,0,64
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.5,0.3890829725287599,0.0,1.0,0.2846441947565543,0.6408094435075885,0.3591905564924115,593,85,128,380,0,76
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.6,0.38039711931812575,0.0,1.0,0.33707865168539325,0.5902192242833052,0.4097807757166948,593,100,143,350,0,90
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.7,0.3735994702354433,0.0,1.0,0.3782771535580524,0.5227655986509275,0.47723440134907247,593,113,170,310,0,101
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.8,0.36600012075869964,0.0,1.0,0.41198501872659177,0.47048903878583476,0.5295109612141653,593,124,190,279,0,110
strawberry,vitb32,2,ProtoAdapter-selective,msp,8.0,1.0230289474462204,0.9,0.35596522707984457,0.0,1.0,0.45692883895131087,0.42158516020236086,0.5784148397976392,593,140,203,250,0,122
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.4,0.052515411202358975,0.0,1.0,0.2958801498127341,0.7284991568296796,0.2715008431703204,593,89,72,432,0,79
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.5,0.044928716893106346,0.0,1.0,0.3333333333333333,0.6694772344013491,0.3305227655986509,593,99,97,397,0,89
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.6,0.03579534956300717,0.0,1.0,0.3895131086142322,0.6138279932546374,0.38617200674536256,593,117,112,364,0,104
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.7,0.026555952211720968,0.0,1.0,0.4344569288389513,0.5379426644182125,0.4620573355817875,593,129,145,319,0,116
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.8,0.01976895476654489,0.0,1.0,0.4606741573033708,0.4772344013490725,0.5227655986509274,593,139,171,283,0,123
strawberry,vitb32,2,ProtoAdapter-selective,margin,8.0,1.0230289474462204,0.9,0.0093638209278335,0.0,1.0,0.4794007490636704,0.42495784148397975,0.5750421585160203,593,146,195,252,0,128
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.4,1.084947937676302,0.0,1.0,0.18726591760299627,0.6964586846543002,0.30354131534569984,593,54,126,413,0,50
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.5,1.0879457855036467,0.0,1.0,0.25842696629213485,0.6290050590219224,0.3709949409780776,593,77,143,373,0,69
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.6,1.091256724374613,0.0,1.0,0.3146067415730337,0.5733558178752108,0.42664418212478916,593,93,160,340,0,84
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.7,1.0933213760469447,0.0,1.0,0.37453183520599254,0.5160202360876898,0.48397976391231023,593,112,175,306,0,100
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.8,1.094858314860188,0.0,1.0,0.41198501872659177,0.47048903878583476,0.5295109612141653,593,128,186,279,0,110
strawberry,vitb32,2,ProtoAdapter-selective,entropy,8.0,1.0230289474462204,0.9,1.0967434330462615,0.0,1.0,0.45692883895131087,0.4300168634064081,0.5699831365935919,593,140,198,255,0,122
strawberry,vitb32,3,ProtoAdapter-hard,none,8.0,0.9993314785482598,1.0,,0.004464285714285714,0.9955357142857143,0.7640449438202247,0.3220910623946037,0.6779089376053963,593,224,178,191,1,204
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.4,0.38493513440923616,0.0,1.0,0.31086142322097376,0.7048903878583473,0.29510961214165266,593,83,92,418,0,83
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.5,0.38000312549903703,0.0,1.0,0.3970037453183521,0.6408094435075885,0.3591905564924115,593,106,107,380,0,106
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.6,0.37598286964595584,0.0,1.0,0.49812734082397003,0.5699831365935919,0.4300168634064081,593,135,120,338,0,133
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.7,0.3698669894601007,0.0,1.0,0.5730337078651685,0.5177065767284992,0.4822934232715008,593,155,131,307,0,153
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.8,0.3650763673281718,0.0,1.0,0.6441947565543071,0.4620573355817875,0.5379426644182125,593,176,143,274,0,172
strawberry,vitb32,3,ProtoAdapter-selective,msp,8.0,0.9993314785482598,0.9,0.35863018565044175,0.0,1.0,0.7228464419475655,0.3912310286677909,0.6087689713322091,593,201,160,232,0,193
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.4,0.05711503258513284,0.0,1.0,0.31086142322097376,0.6947723440134908,0.30522765598650925,593,83,98,412,0,83
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.5,0.04617666895987643,0.0,1.0,0.40074906367041196,0.6239460370994941,0.37605396290050586,593,108,115,370,0,107
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.6,0.03533216445635762,0.0,1.0,0.48314606741573035,0.554806070826307,0.44519392917369305,593,133,131,329,0,129
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.7,0.026515559223454332,0.0,1.0,0.5842696629213483,0.4924114671163575,0.5075885328836425,593,162,139,292,0,156
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.8,0.018594309384484697,0.0,1.0,0.6479400749063671,0.43676222596964587,0.5632377740303541,593,182,152,259,0,173
strawberry,vitb32,3,ProtoAdapter-selective,margin,8.0,0.9993314785482598,0.9,0.008240676761278098,0.0,1.0,0.7078651685393258,0.3794266441821248,0.6205733558178752,593,202,166,225,0,189
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.4,1.090085398831853,0.0,1.0,0.31835205992509363,0.7352445193929174,0.26475548060708265,593,86,71,436,0,85
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.5,1.0914461307709518,0.0,1.0,0.4044943820224719,0.6677908937605397,0.3322091062394603,593,109,88,396,0,108
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.6,1.092332071825888,0.0,1.0,0.4794007490636704,0.5986509274873525,0.4013490725126475,593,129,109,355,0,128
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.7,1.0936501377844647,0.0,1.0,0.5580524344569289,0.5295109612141653,0.4704890387858347,593,152,127,314,0,149
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.8,1.0950577998241007,0.0,1.0,0.6292134831460674,0.463743676222597,0.536256323777403,593,173,145,275,0,168
strawberry,vitb32,3,ProtoAdapter-selective,entropy,8.0,0.9993314785482598,0.9,1.0962903315582413,0.0,1.0,0.704119850187266,0.3912310286677909,0.6087689713322091,593,199,162,232,0,188
strawberry,vitb32,4,ProtoAdapter-hard,none,8.0,0.9685785595403756,1.0,,0.0,1.0,0.6928838951310862,0.3136593591905565,0.6863406408094435,593,192,215,186,0,185
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.4,0.4035935421121345,0.0,1.0,0.2209737827715356,0.715008431703204,0.28499156829679595,593,59,110,424,0,59
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.5,0.3968989902276571,0.0,1.0,0.299625468164794,0.6509274873524452,0.3490725126475548,593,80,127,386,0,80
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.6,0.3921345850010358,0.0,1.0,0.3970037453183521,0.5885328836424958,0.4114671163575042,593,106,138,349,0,106
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.7,0.3848388660951188,0.0,1.0,0.49063670411985016,0.5227655986509275,0.47723440134907247,593,131,152,310,0,131
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.8,0.37597184234756165,0.0,1.0,0.599250936329588,0.44013490725126475,0.5598650927487352,593,162,170,261,0,160
strawberry,vitb32,4,ProtoAdapter-selective,msp,8.0,0.9685785595403756,0.9,0.36792741869461,0.0,1.0,0.6591760299625468,0.3760539629005059,0.623946037099494,593,178,192,223,0,176
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.4,0.07543228581157158,0.0,1.0,0.24719101123595505,0.6829679595278246,0.31703204047217537,593,66,122,405,0,66
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.5,0.06387038449634258,0.0,1.0,0.3333333333333333,0.6172006745362564,0.3827993254637436,593,89,138,366,0,89
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.6,0.054654657400564244,0.0,1.0,0.4044943820224719,0.5615514333895447,0.4384485666104553,593,108,152,333,0,108
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.7,0.03965175103205998,0.0,1.0,0.4868913857677903,0.4924114671163575,0.5075885328836425,593,130,171,292,0,130
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.8,0.024195747946702317,0.0,1.0,0.5655430711610487,0.4350758853288364,0.5649241146711637,593,154,181,258,0,151
strawberry,vitb32,4,ProtoAdapter-selective,margin,8.0,0.9685785595403756,0.9,0.011668230464250362,0.0,1.0,0.6367041198501873,0.37099494097807756,0.6290050590219225,593,175,198,220,0,170
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.4,1.0822376656232169,0.0,1.0,0.23220973782771537,0.7386172006745363,0.2613827993254637,593,62,93,438,0,62
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.5,1.084736588166922,0.0,1.0,0.32209737827715357,0.6728499156829679,0.3271500843170321,593,87,107,399,0,86
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.6,1.0872030294086639,0.0,1.0,0.40823970037453183,0.6003372681281619,0.3996627318718381,593,111,126,356,0,109
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.7,1.089372863486129,0.0,1.0,0.49812734082397003,0.5295109612141653,0.4704890387858347,593,135,144,314,0,133
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.8,1.0920164980344236,0.0,1.0,0.5767790262172284,0.4468802698145025,0.5531197301854975,593,157,171,265,0,154
strawberry,vitb32,4,ProtoAdapter-selective,entropy,8.0,0.9685785595403756,0.9,1.094479347050175,0.0,1.0,0.6591760299625468,0.37436762225969644,0.6256323777403036,593,179,192,222,0,176
strawberry,vitb32,5,ProtoAdapter-hard,none,8.0,0.9729831791251766,1.0,,0.004464285714285714,0.9955357142857143,0.7677902621722846,0.2630691399662732,0.7369308600337268,593,224,213,156,1,205
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.4,0.4019396178145439,0.0,1.0,0.2883895131086142,0.7015177065767285,0.2984822934232715,593,79,98,416,0,77
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.5,0.39442835008416055,0.0,1.0,0.3970037453183521,0.627318718381113,0.37268128161888703,593,108,113,372,0,106
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.6,0.38816863874188207,0.0,1.0,0.5280898876404494,0.5531197301854974,0.4468802698145026,593,143,122,328,0,141
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.7,0.38165011592987796,0.0,1.0,0.6179775280898876,0.4688026981450253,0.5311973018549747,593,170,145,278,0,165
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.8,0.37483684095660647,0.0,1.0,0.700374531835206,0.3946037099494098,0.6053962900505903,593,194,165,234,0,187
strawberry,vitb32,5,ProtoAdapter-selective,msp,8.0,0.9729831791251766,0.9,0.3652967474379891,0.0,1.0,0.7490636704119851,0.3305227655986509,0.6694772344013491,593,213,184,196,0,200
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.4,0.07632332341597375,0.0,1.0,0.33707865168539325,0.6745362563237775,0.32546374367622255,593,92,101,400,0,90
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.5,0.063076072692276,0.0,1.0,0.3970037453183521,0.6155143338954469,0.38448566610455315,593,110,118,365,0,106
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.6,0.049856946128637,0.0,1.0,0.49063670411985016,0.5362563237774031,0.46374367622259693,593,136,139,318,0,131
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.7,0.0372909601438971,0.0,1.0,0.5543071161048689,0.47386172006745364,0.5261382799325464,593,154,158,281,0,148
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.8,0.028189767508153663,0.0,1.0,0.6741573033707865,0.3979763912310287,0.6020236087689713,593,186,171,236,0,180
strawberry,vitb32,5,ProtoAdapter-selective,margin,8.0,0.9729831791251766,0.9,0.012670936582382497,0.0,1.0,0.7153558052434457,0.327150084317032,0.6728499156829679,593,202,197,194,0,191
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.4,1.0830431561000236,0.0,1.0,0.29213483146067415,0.7116357504215851,0.2883642495784149,593,79,92,422,0,78
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.5,1.0856490224615296,0.0,1.0,0.40823970037453183,0.6256323777403036,0.37436762225969644,593,112,110,371,0,109
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.6,1.0880893941232785,0.0,1.0,0.5056179775280899,0.5564924114671164,0.44350758853288363,593,141,122,330,0,135
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.7,1.0907876895491908,0.0,1.0,0.6104868913857678,0.47554806070826305,0.524451939291737,593,169,142,282,0,163
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.8,1.0924891892731337,0.0,1.0,0.6928838951310862,0.40809443507588533,0.5919055649241147,593,194,157,242,0,185
strawberry,vitb32,5,ProtoAdapter-selective,entropy,8.0,0.9729831791251766,0.9,1.0951119163866163,0.0,1.0,0.7453183520599251,0.3372681281618887,0.6627318718381112,593,213,180,200,0,199
strawberry,vitb32,6,ProtoAdapter-hard,none,8.0,0.9966908822707139,1.0,,0.0,1.0,0.9063670411985019,0.23777403035413153,0.7622259696458684,593,270,182,141,0,242
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.4,0.38412623367811544,0.0,1.0,0.45692883895131087,0.6593591905564924,0.3406408094435076,593,123,79,391,0,122
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.5,0.3783975698961609,0.0,1.0,0.5692883895131086,0.5716694772344013,0.4283305227655987,593,153,101,339,0,152
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.6,0.3740145895150356,0.0,1.0,0.6779026217228464,0.4924114671163575,0.5075885328836425,593,183,118,292,0,181
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.7,0.3682616902932308,0.0,1.0,0.7752808988764045,0.4131534569983137,0.5868465430016863,593,220,128,245,0,207
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.8,0.3626380118987059,0.0,1.0,0.8239700374531835,0.3473861720067454,0.6526138279932546,593,235,152,206,0,220
strawberry,vitb32,6,ProtoAdapter-selective,msp,8.0,0.9966908822707139,0.9,0.3559921678771665,0.0,1.0,0.8838951310861424,0.2917369308600337,0.7082630691399663,593,255,165,173,0,236
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.4,0.05857381958424707,0.0,1.0,0.43820224719101125,0.6492411467116358,0.3507588532883642,593,118,90,385,0,117
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.5,0.04800366969764086,0.0,1.0,0.5543071161048689,0.5716694772344013,0.4283305227655987,593,149,105,339,0,148
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.6,0.038858527113910524,0.0,1.0,0.6704119850187266,0.4806070826306914,0.5193929173693086,593,180,128,285,0,179
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.7,0.030430161704565195,0.0,1.0,0.7565543071161048,0.40640809443507586,0.5935919055649241,593,210,142,241,0,202
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.8,0.019914358588692338,0.0,1.0,0.8352059925093633,0.3372681281618887,0.6627318718381112,593,239,154,200,0,223
strawberry,vitb32,6,ProtoAdapter-selective,margin,8.0,0.9966908822707139,0.9,0.010048100098317414,0.0,1.0,0.8764044943820225,0.28836424957841483,0.7116357504215851,593,257,165,171,0,234
strawberry,vitb32,6,ProtoAdapter-selective,entropy,8.0,0.9966908822707139,0.4,1.0908227962427732,0.0,1.0,0.44569288389513106,0.6762225969645869,0.32377740303541314,593,124,68,401,0,119
strawberry,vitb32,6,ProtoAdapter-selective,entropy,8.0,0.9966908822707139,0.5,1.0920385604888558,0.0,1.0,0.550561797752809,0.5919055649241147,0.4080944350758853,593,154,88,351,0,147
